District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
MADISON AVENUE SCHOOL OF ARTS,Ohio,3901346,624,6303000,79000,4865000,1359000,6455000,10101,127,7796,2178
MEDINAH SD 11,Illinois,1725500,624,12357000,9119000,2828000,410000,11606000,19803,14614,4532,657
MINUTEMAN REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2507985,624,24456000,18092000,5489000,875000,22833000,39192,28994,8796,1402
NORWICH SCHOOL DISTRICT,Vermont,5006180,624,12494000,84000,12173000,237000,12645000,20022,135,19508,380
STRAFFORD SCHOOL DISTRICT,New Hampshire,3306420,624,10302000,6858000,3362000,82000,9978000,16510,10990,5388,131
UNION HILL ELEMENTARY,California,640380,624,6961000,1955000,4746000,260000,6888000,11155,3133,7606,417
WEST JEFFERSON DISTRICT,Idaho,1603400,624,5640000,992000,4066000,582000,5647000,9038,1590,6516,933
CAMPBELL R-II,Missouri,2907050,623,5804000,3003000,2055000,746000,9809000,9316,4820,3299,1197
CRAIG CO PBLC SCHS,Virginia,5101020,623,7681000,2629000,4255000,797000,7423000,12329,4220,6830,1279
HALE CENTER ISD,Texas,4822050,623,7069000,1380000,4985000,704000,6249000,11347,2215,8002,1130
MCCRORY SCHOOL DISTRICT,Arkansas,509600,623,7590000,2489000,3960000,1141000,6900000,12183,3995,6356,1831
NORTH PLATTE CO. R-I,Missouri,2922830,623,7836000,4544000,2870000,422000,6590000,12578,7294,4607,677
SOUTHEASTERN GREENE SD,Pennsylvania,4222200,623,11517000,3347000,7686000,484000,11944000,18486,5372,12337,777
ORISKANY CENTRAL SCHOOL DISTRICT,New York,3621960,622,13774000,5476000,7921000,377000,14393000,22145,8804,12735,606
ROSCOE COLLEGIATE ISD,Texas,4837860,622,8451000,4280000,3854000,317000,7754000,13587,6881,6196,510
EASTON,Kansas,2005640,621,8428000,1753000,6403000,272000,7836000,13572,2823,10311,438
GAINESVILLE R-V,Missouri,2912600,621,6028000,2567000,2651000,810000,5863000,9707,4134,4269,1304
MASSACHUSETTS VIRTUAL ACADEMY AT GREENFIELD COMMONWEALTH VIR,Massachusetts,2500551,621,4695000,4310000,0,385000,5589000,7560,6940,0,620
NORTH BALTIMORE LOCAL,Ohio,3905070,621,9997000,5021000,4463000,513000,10224000,16098,8085,7187,826
SCHUYLER CO. R-I,Missouri,2927660,621,6405000,3064000,2635000,706000,8701000,10314,4934,4243,1137
SULLIVAN COUNTY SD,Pennsylvania,4222920,621,13912000,8606000,4866000,440000,13909000,22403,13858,7836,709
BASIS SCHOOL INC. 8,Arizona,400878,620,7236000,713000,6481000,42000,15479000,11671,1150,10453,68
GOREVILLE CUD 1,Illinois,1700014,620,6998000,3044000,3688000,266000,6853000,11287,4910,5948,429
HARPER ISD,Texas,4822590,620,6835000,4349000,2211000,275000,6270000,11024,7015,3566,444
HASKELL CISD,Texas,4822740,620,7735000,2586000,4513000,636000,7621000,12476,4171,7279,1026
LOUISVILLE PUBLIC SCHOOLS,Nebraska,3173050,620,8495000,6707000,1512000,276000,7583000,13702,10818,2439,445
PATHFINDER REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2509310,620,16870000,7915000,8209000,746000,15709000,27210,12766,13240,1203
PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),New York,3623070,620,15759000,2863000,12068000,828000,13926000,25418,4618,19465,1335
PIONEER PREPARATORY SCHOOL,Arizona,400798,620,5370000,136000,3949000,1285000,4203000,8661,219,6369,2073
VAN-FAR R-I,Missouri,2930780,620,6491000,3653000,2263000,575000,7690000,10469,5892,3650,927
ZEIGLER-ROYALTON CUSD 188,Illinois,1743800,620,7020000,1238000,5178000,604000,8660000,11323,1997,8352,974
CHANNING HALL,Utah,4900040,619,4108000,387000,3572000,149000,3699000,6637,625,5771,241
GASTON SD 511J,Oregon,4105430,619,6139000,1393000,4394000,352000,7368000,9918,2250,7099,569
HYDE COUNTY SCHOOLS,North Carolina,3702280,619,10882000,2114000,7603000,1165000,10876000,17580,3415,12283,1882
PECOS INDEPENDENT SCHOOLS,New Mexico,3502010,619,8756000,897000,6639000,1220000,8396000,14145,1449,10725,1971
ST ANSGAR COMM SCHOOL DISTRICT,Iowa,1925200,619,9164000,5090000,3785000,289000,18492000,14805,8223,6115,467
VALLEY MILLS ISD,Texas,4843760,619,7015000,2880000,3597000,538000,6837000,11333,4653,5811,869
COLTON SD 53,Oregon,4103270,618,7400000,2203000,4815000,382000,8374000,11974,3565,7791,618
MAUREEN JOY CHARTER,North Carolina,3700022,618,6342000,2166000,3514000,662000,5686000,10262,3505,5686,1071
MAYSVILLE R-I,Missouri,2920550,618,5689000,2947000,2295000,447000,5679000,9206,4769,3714,723
MISSION ACHIEVEMENT AND SUCCESS,New Mexico,3500148,618,6567000,52000,5661000,854000,6630000,10626,84,9160,1382
OAKDALE,Oklahoma,4022350,618,6739000,5970000,588000,181000,7760000,10905,9660,951,293
CITY CHS,Pennsylvania,4200094,617,10648000,10107000,26000,515000,10608000,17258,16381,42,835
CLEAR LAKE SCHOOL DISTRICT,Wisconsin,5502610,617,8724000,2938000,5310000,476000,8175000,14139,4762,8606,771
DEAF/BLIND,Florida,1202016,617,,,,,,,,,
ENDEAVOR HALL,Utah,4900155,617,4022000,69000,3583000,370000,3653000,6519,112,5807,600
MARISSA CUSD 40,Illinois,1724650,617,7679000,2479000,4421000,779000,7938000,12446,4018,7165,1263
NEELYVILLE R-IV,Missouri,2921750,617,5556000,2040000,2924000,592000,5692000,9005,3306,4739,959
PARK COUNTY SCHOOL DISTRICT NO. RE-2,Colorado,803840,617,10019000,7655000,2039000,325000,8196000,16238,12407,3305,527
RAYMOND CENTRAL PUBLIC SCHOOLS,Nebraska,3104950,617,10082000,8489000,1319000,274000,8584000,16340,13759,2138,444
RAYMOND SCHOOL DISTRICT,Washington,5307140,617,8807000,2118000,6011000,678000,8153000,14274,3433,9742,1099
CAPE COD REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2503310,616,17374000,12838000,3803000,733000,16021000,28205,20841,6174,1190
CENTRAL SD 104,Illinois,1709170,616,6561000,4800000,1136000,625000,6736000,10651,7792,1844,1015
CHICO ISD,Texas,4813800,616,9004000,7449000,1164000,391000,8857000,14617,12093,1890,635
NOBLE ACADEMY,Minnesota,2700295,616,7285000,99000,6491000,695000,8265000,11826,161,10537,1128
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1,New York,3601011,616,,,,,,,,,
TALIHINA,Oklahoma,4029400,616,6003000,891000,3726000,1386000,6043000,9745,1446,6049,2250
BALL CHARTER SCHOOLS (HEARN),Arizona,400100,615,4644000,473000,3819000,352000,3109000,7551,769,6210,572
BRACKETT ISD,Texas,4811070,615,8679000,3889000,4141000,649000,7047000,14112,6324,6733,1055
CARLISLE,Massachusetts,2503330,615,14457000,11951000,2245000,261000,13515000,23507,19433,3650,424
CHATOM UNION,California,608250,615,8089000,2817000,4509000,763000,7444000,13153,4580,7332,1241
CLAYTON RIDGE COMM SCHOOL DISTRICT,Iowa,1913350,615,9577000,5596000,3656000,325000,9048000,15572,9099,5945,528
EDGERTON LOCAL,Ohio,3905061,615,8617000,3858000,4327000,432000,7143000,14011,6273,7036,702
ELBA CITY,Alabama,101260,615,7152000,1792000,4367000,993000,7238000,11629,2914,7101,1615
JOHN DAY SD 3,Oregon,4106780,615,8106000,2141000,4427000,1538000,7942000,13180,3481,7198,2501
LABORATORY CS,Pennsylvania,4200044,615,6129000,5614000,120000,395000,6377000,9966,9128,195,642
MAGAZINE SCHOOL DISTRICT,Arkansas,509150,615,6370000,1666000,3907000,797000,6114000,10358,2709,6353,1296
MICHIGAN MATHEMATICS AND SCIENCE ACADEMY,Michigan,2600967,615,5347000,49000,4729000,569000,4948000,8694,80,7689,925
MONROEVILLE LOCAL,Ohio,3904771,615,8619000,4990000,3256000,373000,8473000,14015,8114,5294,607
OCEANPORT SCHOOL DISTRICT,New Jersey,3412120,615,11747000,9840000,1590000,317000,11261000,19101,16000,2585,515
SEAGRAVES ISD,Texas,4839600,615,9931000,4889000,4567000,475000,8950000,16148,7950,7426,772
SONOMA COUNTY OFFICE OF EDUCATION,California,691040,615,128126000,48203000,57190000,22733000,121890000,208335,78379,92992,36964
ST PAUL CONSERVATORY PERFORMING ART,Minnesota,2700351,615,6226000,151000,5995000,80000,6011000,10124,246,9748,130
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2,New York,3601012,615,,,,,,,,,
VALENTINE COMMUNITY SCHOOLS,Nebraska,3178020,615,10729000,8725000,1403000,601000,10619000,17446,14187,2281,977
WEST PRAIRIE CUSD 103,Illinois,1700314,615,8917000,4798000,3464000,655000,8309000,14499,7802,5633,1065
BISBEE UNIFIED DISTRICT,Arizona,401180,614,7939000,4035000,2914000,990000,6996000,12930,6572,4746,1612
DURANT COMM SCHOOL DISTRICT,Iowa,1909600,614,8264000,4033000,3988000,243000,7984000,13459,6568,6495,396
GRANT ELEMENTARY,California,615690,614,6820000,1797000,4765000,258000,6416000,11107,2927,7761,420
OTTO-ELDRED SD,Pennsylvania,4218240,614,11676000,2106000,8502000,1068000,10695000,19016,3430,13847,1739
RSD-MORRIS JEFF COMMUNITY SCHOOL,Louisiana,2200152,614,7162000,3693000,3035000,434000,7225000,11664,6015,4943,707
BLUE RIVER VALLEY SCHOOLS,Indiana,1800660,613,7531000,2246000,4736000,549000,6955000,12285,3664,7726,896
GALLATIN R-V,Missouri,2912660,613,5989000,2796000,2686000,507000,6875000,9770,4561,4382,827
KIT CARSON UNION ELEMENTARY,California,619890,613,8090000,1090000,6539000,461000,6854000,13197,1778,10667,752
NORTHERN CASS 97,North Dakota,3800044,613,8878000,3482000,5190000,206000,7747000,14483,5680,8467,336
PHILADELPHIA ELECTRICAL & TECH CHS,Pennsylvania,4200107,613,7556000,6495000,158000,903000,7470000,12326,10595,258,1473
BUELLTON UNION ELEMENTARY,California,606330,612,12257000,8111000,3354000,792000,11404000,20028,13253,5480,1294
CEDAR CLIFF LOCAL,Ohio,3904725,612,9077000,5470000,2940000,667000,7103000,14832,8938,4804,1090
CINCINNATUS CENTRAL SCHOOL DISTRICT,New York,3607560,612,15307000,3630000,11033000,644000,14975000,25011,5931,18028,1052
HADLEY,Massachusetts,2505580,612,10509000,8191000,1976000,342000,10153000,17172,13384,3229,559
METHOW VALLEY SCHOOL DISTRICT,Washington,5305020,612,9216000,3507000,5260000,449000,8598000,15059,5730,8595,734
MUMFORD ISD,Texas,4831950,612,5739000,1065000,4258000,416000,4546000,9377,1740,6958,680
NORTH DAYTON SCHOOL OF SCIENCE & DISCOVERY,Ohio,3900216,612,6105000,466000,4771000,868000,6529000,9975,761,7796,1418
PIMA COUNTY JTED,Arizona,400752,612,19912000,5802000,13773000,337000,17498000,32536,9480,22505,551
SEVASTOPOL SCHOOL DISTRICT,Wisconsin,5513500,612,9938000,8836000,710000,392000,9131000,16239,14438,1160,641
SOUTHEAST WARREN COMM SCHOOL DISTRICT,Iowa,1926850,612,7923000,3210000,4435000,278000,7236000,12946,5245,7247,454
CORVIAN COMMUNITY SCHOOL,North Carolina,3700327,611,5235000,1884000,3250000,101000,5003000,8568,3083,5319,165
LAWRENCE TOWNSHIP SCHOOL DISTRICT,New Jersey,3408370,611,10457000,2522000,7298000,637000,10049000,17115,4128,11944,1043
COLE CO. R-V,Missouri,2911550,610,5983000,3567000,1875000,541000,5825000,9808,5848,3074,887
